date_time,classifier_name,model_name,vec_method,cross_val_accuracy,cross_val_f1,train_accuracy,train_f1,test_accuracy,test_f1,dataset
2018-09-30 13:51:47.515029,LogisticRegression,model1,TF-IDF,0.9096002452540912,0.9153211270342888,1.0,1.0,0.9283387622149836,0.929486558612915,old_hh_sz1021
2018-09-30 16:19:11.903357,LogisticRegression,model1,Word2Vec,0.8845711995431035,0.8848354044272089,0.9775910364145658,0.9775501900144314,0.8925081433224755,0.8927045764376991,old_hh_sz1021
2018-09-30 16:19:37.820935,LogisticRegression,model1,Word2Vec&TF-IDF,0.8824033568342009,0.8810807906680751,0.9971988795518208,0.9971980402670862,0.8859934853420195,0.8851569470317818,old_hh_sz1021
2018-09-30 16:34:09.114063,KNeighborsClassifier,model1,TF-IDF,0.3400657371437677,0.3345167940237571,1.0,1.0,0.3745928338762215,0.341888747754774,old_hh_sz1021
2018-09-30 16:34:10.365603,KNeighborsClassifier,model1,Word2Vec,0.8081575834602095,0.8113032749621707,1.0,1.0,0.8338762214983714,0.8342259369565604,old_hh_sz1021
2018-09-30 16:34:11.603239,KNeighborsClassifier,model1,Word2Vec&TF-IDF,0.821903176662088,0.8256451680640747,1.0,1.0,0.8371335504885994,0.8428828100725956,old_hh_sz1021
2018-09-30 16:47:12.422167,SVC,model1,TF-IDF,0.8838393605364752,0.8851481708716292,1.0,1.0,0.9153094462540716,0.915986041525514,old_hh_sz1021
2018-09-30 16:47:17.674410,SVC,model1,Word2Vec,0.8669946500855629,0.8661304832688521,0.9929971988795518,0.9930008883389468,0.8990228013029316,0.8992665411177605,old_hh_sz1021
2018-09-30 16:47:22.705099,SVC,model1,Word2Vec&TF-IDF,0.8737293628901842,0.8736837261848798,1.0,1.0,0.8599348534201955,0.8602030996289293,old_hh_sz1021
2018-09-30 16:53:24.793264,VotingClassifier,model1,TF-IDF,0.8799889666796936,0.8831550019360641,1.0,1.0,0.9218241042345277,0.925597243564154,old_hh_sz1021
2018-09-30 16:53:31.110980,VotingClassifier,model1,Word2Vec,0.8787434860010446,0.8809408872846072,0.9733893557422968,0.9734083510243554,0.8957654723127035,0.8948428503631309,old_hh_sz1021
2018-09-30 16:53:39.686377,VotingClassifier,model1,Word2Vec&TF-IDF,0.8825171098976858,0.8837640378059168,1.0,1.0,0.8925081433224755,0.8933885138359459,old_hh_sz1021
2018-09-30 17:34:31.740315,GradientBoostingClassifier,model1,TF-IDF,0.8529619619197211,0.859282211768552,1.0,1.0,0.8371335504885994,0.8408409700972301,old_hh_sz1021
2018-09-30 17:37:47.789615,GradientBoostingClassifier,model1,Word2Vec,0.8189567950674068,0.8228858486526885,1.0,1.0,0.7850162866449512,0.787538108244678,old_hh_sz1021
2018-09-30 17:40:58.557742,GradientBoostingClassifier,model1,Word2Vec&TF-IDF,0.8288430079190581,0.8276894625230435,1.0,1.0,0.8013029315960912,0.8034787477273173,old_hh_sz1021
2018-10-02 22:29:20.916390,LogisticRegression,model1,Word2VecBig,0.8326190686985868,0.829349666258517,0.8725490196078431,0.8727323389357725,0.8371335504885994,0.8374109742901351,old_hh_sz1021
2018-10-02 22:59:54.213827,LogisticRegression,model1,Word2VecBig,0.5958183658306763,0.5312455411075807,0.572829131652661,0.4915556669174779,0.4885993485342021,0.4045719545424565,old_hh_sz1021
2018-10-02 23:07:23.075803,LogisticRegression,model1,Word2VecBig,0.8326190686985868,0.829349666258517,0.8613445378151261,0.8599066935484257,0.8078175895765473,0.8080111291757421,old_hh_sz1021
2018-10-02 23:09:28.934663,SVC,model1,Word2VecBig,0.8307296550838477,0.83447614626137,0.8781512605042017,0.8818796041154792,0.8143322475570033,0.820672438725063,old_hh_sz1021
2018-10-02 23:10:54.290358,KNeighborsClassifier,model1,Word2VecBig,0.7475487771714575,0.7465937604378478,1.0,1.0,0.745928338762215,0.7467301546641908,old_hh_sz1021
2018-10-02 23:13:17.605713,VotingClassifier,model1,Word2VecBig,0.7574083457922509,0.7562476591200478,0.907563025210084,0.9084826014850368,0.7687296416938111,0.7723634701875943,old_hh_sz1021
2018-10-02 23:21:11.411613,GradientBoostingClassifier,model1,Word2VecBig,0.7573630263861684,0.7600736030648936,1.0,1.0,0.755700325732899,0.7590088433167171,old_hh_sz1021
2018-10-06 22:33:14.810474,LogisticRegression,model1,Word2VecNewOld,0.8883170151004119,0.8881835866868506,0.9957983193277312,0.9958001820695348,0.9120521172638436,0.9125808678198996,old_hh_sz1021
2018-10-06 22:33:16.247531,KNeighborsClassifier,model1,Word2VecNewOld,0.7906163053714486,0.7889554135446655,1.0,1.0,0.8078175895765473,0.8071046361678282,old_hh_sz1021
2018-10-06 22:33:21.971372,SVC,model1,Word2VecNewOld,0.8620768439290526,0.8620093788818279,1.0,1.0,0.8892508143322475,0.8891940288465446,old_hh_sz1021
2018-10-20 18:58:16.141829,LogisticRegression,model1,TF-IDF,0.7395,0.7341473969264527,1.0,1.0,0.7133333333333334,0.7128918127359376,hh_sz100
2018-10-20 18:59:40.896331,LogisticRegression,model1,Word2Vec,0.725,0.7231886409994245,0.9457142857142856,0.9454544842580428,0.7266666666666667,0.7279330212927616,hh_sz100
2018-10-20 19:01:05.801833,LogisticRegression,model1,Word2Vec&TF-IDF,0.7185,0.7134268826322765,0.8614285714285714,0.8601600813060502,0.725,0.7240204454017856,hh_sz100
2018-10-20 19:03:06.195239,KNeighborsClassifier,model1,TF-IDF,0.257,0.29073435899135497,1.0,1.0,0.18833333333333327,0.21709306344911397,hh_sz100
2018-10-20 19:03:10.762557,KNeighborsClassifier,model1,Word2Vec,0.67,0.6647420760004108,1.0,1.0,0.6566666666666666,0.6491722872175539,hh_sz100
2018-10-20 19:03:15.306313,KNeighborsClassifier,model1,Word2Vec&TF-IDF,0.6665000000000001,0.6632181838592326,1.0,1.0,0.66,0.6623291920403311,hh_sz100
2018-10-20 19:36:12.393087,SVC,model1,TF-IDF,0.6940000000000001,0.6995250097377027,1.0,1.0,0.6683333333333333,0.6831267753881396,hh_sz100
